"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
11,50,"linear","target-E-Lv_null-H-Lv_r0",1,17,"plots/svg/16ce6f7a2dfb1a760c7ba8bcd54daccc.svg","emily-log-1",103,"6a72b42ba970ea6798a886761baf324f"
12,50,"log","target-E-Lv_null-H-Lv_r0",1,17,"plots/svg/19640c3dc14337740f45aee91eed5803.svg","emily-log-1",203,"6a72b42ba970ea6798a886761baf324f"
13,50,"linear","target-M-Lv_null-E-Lv_r0",1,10,"plots/svg/5df2947852318075a066e55984da5020.svg","emily-log-1",104,"8ad2ea6719790c191cedf1038d3cbca5"
14,50,"log","target-M-Lv_null-E-Lv_r0",1,10,"plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg","emily-log-1",204,"8ad2ea6719790c191cedf1038d3cbca5"
15,50,"linear","target-M-Lv_null-E-Lv_r0",1,10,"plots/svg/d8dea45d5c5b31523324bc29de32411f.svg","emily-log-1",104,"7ff3391e264e98652cdb6eb8b85088c4"
16,50,"log","target-M-Lv_null-E-Lv_r0",1,10,"plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg","emily-log-1",204,"7ff3391e264e98652cdb6eb8b85088c4"
17,50,"linear","target-M-Lv_null-M-Lv_r1",1,13,"plots/svg/820438d18efea32daec169de0273d756.svg","emily-log-1",105,"8012cc5c1e8c712893cc2a9a040c11b1"
18,50,"log","target-M-Lv_null-M-Lv_r1",1,13,"plots/svg/1ec5254497cf832302fe84e8cc60d25d.svg","emily-log-1",205,"8012cc5c1e8c712893cc2a9a040c11b1"
19,50,"linear","target-M-Lv_null-M-Lv_r1",1,16,"plots/svg/a68246cc6e786d82e422d1fdbbf8d57f.svg","emily-log-1",105,"189c61f200c3520ee45009701c11152a"
20,50,"log","target-M-Lv_null-M-Lv_r1",1,16,"plots/svg/de094142d3634f328b1655f017d1aefb.svg","emily-log-1",205,"189c61f200c3520ee45009701c11152a"
21,50,"linear","target-M-Lv_null-H-Lv_r0",1,1,"plots/svg/20d0abf28998f59ada75cce6b4999158.svg","emily-log-1",106,"3d689aa117d70559b73fe8398f1a44c6"
22,50,"log","target-M-Lv_null-H-Lv_r0",1,1,"plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg","emily-log-1",206,"3d689aa117d70559b73fe8398f1a44c6"
23,50,"linear","target-M-Lv_null-H-Lv_r0",1,13,"plots/svg/a22fa470f1028ba1fa6fc5d121887a46.svg","emily-log-1",106,"184b9f1a90081e0ffeedc112c6431d9c"
24,50,"log","target-M-Lv_null-H-Lv_r0",1,13,"plots/svg/5e448cd61317e5499aee6d7ea7906c64.svg","emily-log-1",206,"184b9f1a90081e0ffeedc112c6431d9c"
25,50,"linear","target-H-Lv_null-E-Lv_r0",1,1,"plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg","emily-log-1",107,"d5c6dd039c67d2cb6771b22aa1c6aaac"
26,50,"log","target-H-Lv_null-E-Lv_r0",1,1,"plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg","emily-log-1",207,"d5c6dd039c67d2cb6771b22aa1c6aaac"
27,50,"linear","target-H-Lv_null-E-Lv_r0",1,9,"plots/svg/d4332bd8e199471b74969e986f987ac8.svg","emily-log-1",107,"47748c8978f11fc269bed62ca7f6a4d3"
28,50,"log","target-H-Lv_null-E-Lv_r0",1,9,"plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg","emily-log-1",207,"47748c8978f11fc269bed62ca7f6a4d3"
29,50,"linear","target-H-Lv_null-M-Lv_r0",1,12,"plots/svg/abd7b714d3c960b93247a0a3e0308473.svg","emily-log-1",108,"f28e70dc6b7365974b49d253cdd85363"
30,50,"log","target-H-Lv_null-M-Lv_r0",1,12,"plots/svg/e2e1ff57be869422245fc51b15415492.svg","emily-log-1",208,"f28e70dc6b7365974b49d253cdd85363"
31,50,"linear","target-H-Lv_null-M-Lv_r0",1,12,"plots/svg/e9510e025a1152c8bc78255bdc926f93.svg","emily-log-1",108,"b79bc1a0fdbb69edc87fe34883a066d6"
32,50,"log","target-H-Lv_null-M-Lv_r0",1,12,"plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg","emily-log-1",208,"b79bc1a0fdbb69edc87fe34883a066d6"
33,50,"linear","target-H-Lv_null-H-Lv_r1",1,13,"plots/svg/0740d5691fe759cee8e280ceb9c0255f.svg","emily-log-1",109,"a3df7e1ea7711045cd8ec20ae87aa787"
34,50,"log","target-H-Lv_null-H-Lv_r1",1,13,"plots/svg/dd336d3d442d53d71ad505727da39d02.svg","emily-log-1",209,"a3df7e1ea7711045cd8ec20ae87aa787"
35,50,"linear","target-H-Lv_null-H-Lv_r1",1,1,"plots/svg/88038d38598a7fad53f272257fcae22e.svg","emily-log-1",109,"6d411bb5d0d26fd3a2d16ae1b8b4445b"
36,50,"log","target-H-Lv_null-H-Lv_r1",1,1,"plots/svg/c374950bc853aad5a4d3310fe25d9ddb.svg","emily-log-1",209,"6d411bb5d0d26fd3a2d16ae1b8b4445b"
