"participant_id","NQs","age","gender","academic_study","computer_mouse","recruitment","order","q_id","qtext","creature","dataset","scale","response","true_value","deviation","abs_deviation","closest_pt_value","closest_pt_deviation","closest_pt_abs_deviation","showed_work","showed_work_n","calculation","scratchpad","pop20_est","pop40_est","anchored","logic","work_notes"
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",13,"QE2","In what stardate does the population of Tribbles reach 4,000?","tribble","dataset2","linear","27",28.44947006,-1.449470062,1.449470062,27,0,0,0,6,,,,,,,
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",14,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset2","linear","23000",14363.34135,8636.658652,8636.658652,22897.43,102.57,102.57,1,6,,"4520 1500
4540 24500",1500,24500,"base tens","correct",
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",2,"Q0","Between stardates 4530 and 4540, how does the population of Tribbles change?","tribble","dataset1","log2","the poplulation has more than doubled",,,,,,,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",3,"QI3","How long does it take for the population of Tribbles in stardate 4510 to double?","tribble","dataset1","log2","8",6.245447942,1.754552058,1.754552058,4,4,4,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",4,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset1","log2","13000",14363.34135,-1363.341348,1363.341348,15517.75,-2517.75,2517.75,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",5,"QE2","In what stardate does the population of Tribbles reach 4,000?","tribble","dataset1","log2","24",28.44947006,-4.449470062,4.449470062,24,0,0,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",6,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset1","log2","32",10.68524351,21.31475649,21.31475649,11.15,20.85,20.85,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",7,"QE1","What is the population of Tribbles in stardate 4510?","tribble","dataset1","log2","500",481.6152,18.38480004,18.38480004,445.4833,54.5167,54.5167,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",9,"Q0","Between 30 and 40 ABY, how does the population of Ewoks change?","ewok","dataset2","linear","the population increased",,,,,,,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",10,"QE1","What is the population of Ewoks in 10 ABY?","ewok","dataset2","linear","400",481.6152,-81.61519996,81.61519996,466.8964,-66.8964,66.8964,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",11,"QE2","In what ABY does the population of Ewoks reach 4,000?","ewok","dataset2","linear","25",28.44947006,-3.449470062,3.449470062,27,-2,2,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",12,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset2","linear","500",10.68524351,489.3147565,489.3147565,18.76,481.24,481.24,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",13,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset2","linear","2400",14363.34135,-11963.34135,11963.34135,22897.43,-20497.43,20497.43,0,0,,,,,,,
"5b16d305db2092ddae8cf1c410341f36",12,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific",14,"QI3","How long does it take for the population of Ewoks in 10 ABY to double?","ewok","dataset2","linear","12",6.245447942,5.754552058,5.754552058,6,6,6,0,0,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",2,"Q0","Between 30 and 40 ABY, how does the population of Ewoks change?","ewok","dataset2","log2","between those years the population was multiplied by around 4 times",,,,,,,0,2,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",3,"QE1","What is the population of Ewoks in 10 ABY?","ewok","dataset2","log2","510",481.6152,28.38480004,28.38480004,466.8964,43.1036,43.1036,0,2,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",4,"QE2","In what ABY does the population of Ewoks reach 4,000?","ewok","dataset2","log2","28",28.44947006,-0.449470062,0.449470062,27,1,1,0,2,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",5,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset2","log2","14800",14363.34135,436.658652,436.658652,22897.43,-8097.43,8097.43,0,2,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",6,"QI3","How long does it take for the population of Ewoks in 10 ABY to double?","ewok","dataset2","log2","7",6.245447942,0.754552058,0.754552058,6,1,1,0,2,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",7,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset2","log2","11.6",10.68524351,0.914756492,0.914756492,18.76,-7.16,7.16,1,2,"16300/1200=13.58; 16300/1400=11.64",,1400,16300,,"correct",
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",9,"Q0","Between stardates 4530 and 4540, how does the population of Tribbles change?","tribble","dataset1","linear","tripled (X3)",,,,,,,0,2,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",10,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset1","linear","12.5",10.68524351,1.814756492,1.814756492,11.15,1.35,1.35,1,2,"150/12=12.5",,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",11,"QE2","In what stardate does the population of Tribbles reach 4,000?","tribble","dataset1","linear","28",28.44947006,-0.449470062,0.449470062,24,4,4,0,2,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",12,"QI3","How long does it take for the population of Tribbles in stardate 4510 to double?","tribble","dataset1","linear","5",6.245447942,-1.245447942,1.245447942,4,1,1,0,2,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",13,"QE1","What is the population of Tribbles in stardate 4510?","tribble","dataset1","linear","800",481.6152,318.3848,318.3848,445.4833,354.5167,354.5167,0,2,,,,,,,
"8ab3438eb60817740bdd15143ceacd06",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific",14,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset1","linear","13500",14363.34135,-863.341348,863.341348,15517.75,-2017.75,2017.75,0,2,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",2,"Q0","Between stardates 4530 and 4540, how does the population of Tribbles change?","tribble","dataset2","linear","invariata",,,,,,,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",3,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset2","linear","0",10.68524351,-10.68524351,10.68524351,18.76,-18.76,18.76,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",4,"QI3","How long does it take for the population of Tribbles in stardate 4510 to double?","tribble","dataset2","linear","30",6.245447942,23.75455206,23.75455206,6,24,24,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",5,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset2","linear","10000",14363.34135,-4363.341348,4363.341348,22897.43,-12897.43,12897.43,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",6,"QE1","What is the population of Tribbles in stardate 4510?","tribble","dataset2","linear","10",481.6152,-471.6152,471.6152,466.8964,-456.8964,456.8964,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",7,"QE2","In what stardate does the population of Tribbles reach 4,000?","tribble","dataset2","linear","-4500",28.44947006,-4528.44947,4528.44947,27,-4527,4527,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",9,"Q0","Between 30 and 40 ABY, how does the population of Ewoks change?","ewok","dataset1","log2","31",,,,,,,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",10,"QE2","In what ABY does the population of Ewoks reach 4,000?","ewok","dataset1","log2","13",28.44947006,-15.44947006,15.44947006,24,-11,11,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",11,"QE1","What is the population of Ewoks in 10 ABY?","ewok","dataset1","log2","400",481.6152,-81.61519996,81.61519996,445.4833,-45.4833,45.4833,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",12,"QI3","How long does it take for the population of Ewoks in 10 ABY to double?","ewok","dataset1","log2","15",6.245447942,8.754552058,8.754552058,4,11,11,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",13,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset1","log2","500",14363.34135,-13863.34135,13863.34135,15517.75,-15017.75,15017.75,0,0,,,,,,,
"a7c602015bf3cf255ef84b0b83f5945f",12,"41-45","Female","High School or Less","Yes","Prolific",14,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset1","log2","60000",10.68524351,59989.31476,59989.31476,11.15,59988.85,59988.85,0,0,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",2,"Q0","Between stardates 4530 and 4540, how does the population of Tribbles change?","tribble","dataset1","log2","The population increases",,,,,,,0,2,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",3,"QI3","How long does it take for the population of Tribbles in stardate 4510 to double?","tribble","dataset1","log2","5",6.245447942,-1.245447942,1.245447942,4,1,1,1,2,"512 * 2=1024","5 Stardates to double",,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",4,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset1","log2","15000",14363.34135,636.658652,636.658652,15517.75,-517.75,517.75,0,2,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",5,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset1","log2","15000",10.68524351,14989.31476,14989.31476,11.15,14988.85,14988.85,0,2,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",6,"QE2","In what stardate does the population of Tribbles reach 4,000?","tribble","dataset1","log2","25",28.44947006,-3.449470062,3.449470062,24,1,1,0,2,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",7,"QE1","What is the population of Tribbles in stardate 4510?","tribble","dataset1","log2","512",481.6152,30.38480004,30.38480004,445.4833,66.5167,66.5167,0,2,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",9,"Q0","Between 30 and 40 ABY, how does the population of Ewoks change?","ewok","dataset2","linear","It drastically increases",,,,,,,0,2,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",10,"QE2","In what ABY does the population of Ewoks reach 4,000?","ewok","dataset2","linear","27",28.44947006,-1.449470062,1.449470062,27,0,0,0,2,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",11,"QI3","How long does it take for the population of Ewoks in 10 ABY to double?","ewok","dataset2","linear","20",6.245447942,13.75455206,13.75455206,6,14,14,1,2,,"Around 10 ABY I'm guessing the population is around 1000 and in 20 ABY it looks around 2000",,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",12,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset2","linear","13000",10.68524351,12989.31476,12989.31476,18.76,12981.24,12981.24,0,2,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",13,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset2","linear","13000",14363.34135,-1363.341348,1363.341348,22897.43,-9897.43,9897.43,0,2,,,,,,,
"76f8dfd88285cbccd7f8e1bb513700e7",12,"19-25","Male","Prefer not to answer","Yes","Prolific",14,"QE1","What is the population of Ewoks in 10 ABY?","ewok","dataset2","linear","1000",481.6152,518.3848,518.3848,466.8964,533.1036,533.1036,0,2,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",2,"Q0","Between stardates 4530 and 4540, how does the population of Tribbles change?","tribble","dataset2","linear","a first increasing tendency. then decreases and starts increasing again. Suthen mass deaths near the 4540.",,,,,,,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",3,"QI3","How long does it take for the population of Tribbles in stardate 4510 to double?","tribble","dataset2","linear","13",6.245447942,6.754552058,6.754552058,6,7,7,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",4,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset2","linear","22000",14363.34135,7636.658652,7636.658652,22897.43,-897.43,897.43,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",5,"QE1","What is the population of Tribbles in stardate 4510?","tribble","dataset2","linear","1000",481.6152,518.3848,518.3848,466.8964,533.1036,533.1036,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",6,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset2","linear","11",10.68524351,0.314756492,0.314756492,18.76,-7.76,7.76,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",7,"QE2","In what stardate does the population of Tribbles reach 4,000?","tribble","dataset2","linear","28",28.44947006,-0.449470062,0.449470062,27,1,1,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",9,"Q0","Between 30 and 40 ABY, how does the population of Ewoks change?","ewok","dataset1","log2","steady",,,,,,,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",10,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset1","log2","14600",14363.34135,236.658652,236.658652,15517.75,-917.75,917.75,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",11,"QI3","How long does it take for the population of Ewoks in 10 ABY to double?","ewok","dataset1","log2","4",6.245447942,-2.245447942,2.245447942,4,0,0,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",12,"QE1","What is the population of Ewoks in 10 ABY?","ewok","dataset1","log2","400",481.6152,-81.61519996,81.61519996,445.4833,-45.4833,45.4833,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",13,"QE2","In what ABY does the population of Ewoks reach 4,000?","ewok","dataset1","log2","24",28.44947006,-4.449470062,4.449470062,24,0,0,0,0,,,,,,,
"7847dfebdb5ea81d51c2c754c31ffd8b",12,"31-35","Male","High School or Less","No","Prolific",14,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset1","log2","10",10.68524351,-0.685243508,0.685243508,11.15,-1.15,1.15,0,0,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",2,"Q0","Between stardates 4530 and 4540, how does the population of Tribbles change?","tribble","dataset1","log2","INCREASING",,,,,,,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",3,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset1","log2","20",14363.34135,-14343.34135,14343.34135,15517.75,-15497.75,15497.75,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",4,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset1","log2","1",10.68524351,-9.685243508,9.685243508,11.15,-10.15,10.15,1,1,"4540/4520=1",,,,,"incorrect",
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",5,"QE1","What is the population of Tribbles in stardate 4510?","tribble","dataset1","log2","512",481.6152,30.38480004,30.38480004,445.4833,66.5167,66.5167,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",6,"QE2","In what stardate does the population of Tribbles reach 4,000?","tribble","dataset1","log2","25",28.44947006,-3.449470062,3.449470062,24,1,1,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",7,"QI3","How long does it take for the population of Tribbles in stardate 4510 to double?","tribble","dataset1","log2","512",6.245447942,505.7545521,505.7545521,4,508,508,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",9,"Q0","Between 30 and 40 ABY, how does the population of Ewoks change?","ewok","dataset2","linear","INCREASE",,,,,,,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",10,"QE1","What is the population of Ewoks in 10 ABY?","ewok","dataset2","linear","1",481.6152,-480.6152,480.6152,466.8964,-465.8964,465.8964,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",11,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset2","linear","15",10.68524351,4.314756492,4.314756492,18.76,-3.76,3.76,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",12,"QI3","How long does it take for the population of Ewoks in 10 ABY to double?","ewok","dataset2","linear","1",6.245447942,-5.245447942,5.245447942,6,-5,5,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",13,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset2","linear","11",14363.34135,-14352.34135,14352.34135,22897.43,-22886.43,22886.43,0,1,,,,,,,
"8dc6dd7b2b1521e15dd14e25f024f918",12,"26-30","Female","Undergraduate Degree","Yes","Prolific",14,"QE2","In what ABY does the population of Ewoks reach 4,000?","ewok","dataset2","linear","25",28.44947006,-3.449470062,3.449470062,27,-2,2,0,1,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",2,"Q0","Between stardates 4530 and 4540, how does the population of Tribbles change?","tribble","dataset2","log2","It drops a very tiny bit but then carries on increasing",,,,,,,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",3,"QI3","How long does it take for the population of Tribbles in stardate 4510 to double?","tribble","dataset2","log2","5",6.245447942,-1.245447942,1.245447942,6,-1,1,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",4,"QE2","In what stardate does the population of Tribbles reach 4,000?","tribble","dataset2","log2","30",28.44947006,1.550529938,1.550529938,27,3,3,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",5,"QE1","What is the population of Tribbles in stardate 4510?","tribble","dataset2","log2","512",481.6152,30.38480004,30.38480004,466.8964,45.1036,45.1036,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",6,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset2","log2","15360",14363.34135,996.658652,996.658652,22897.43,-7537.43,7537.43,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",7,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset2","log2","16",10.68524351,5.314756492,5.314756492,18.76,-2.76,2.76,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",9,"Q0","Between 30 and 40 ABY, how does the population of Ewoks change?","ewok","dataset1","linear","It increase sporadically",,,,,,,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",10,"QE2","In what ABY does the population of Ewoks reach 4,000?","ewok","dataset1","linear","25",28.44947006,-3.449470062,3.449470062,24,1,1,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",11,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset1","linear","20000",10.68524351,19989.31476,19989.31476,11.15,19988.85,19988.85,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",12,"QE1","What is the population of Ewoks in 10 ABY?","ewok","dataset1","linear","1000",481.6152,518.3848,518.3848,445.4833,554.5167,554.5167,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",13,"QI3","How long does it take for the population of Ewoks in 10 ABY to double?","ewok","dataset1","linear","20",6.245447942,13.75455206,13.75455206,4,16,16,0,0,,,,,,,
"ec80c62ec6621f2d04d1215f6567402f",12,"36-40","Female","Graduate Degree","Yes","Prolific",14,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset1","linear","2000",14363.34135,-12363.34135,12363.34135,15517.75,-13517.75,13517.75,0,0,,,,,,,
"fcdccdcecacfc9e8ffb22a40e58abbdf",12,"31-35","Male","Some Undergraduate Courses","Yes","Prolific",2,"Q0","Between stardates 4530 and 4540, how does the population of Tribbles change?","tribble","dataset1","log2","Increases in 10000",,,,,,,0,6,,,,,,,
"fcdccdcecacfc9e8ffb22a40e58abbdf",12,"31-35","Male","Some Undergraduate Courses","Yes","Prolific",3,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset1","log2","10",10.68524351,-0.685243508,0.685243508,11.15,-1.15,1.15,1,6,"16-1.5=14.5","Pop in 4520: 1,5
Pop in 4540: 16,384
",,,,,
"fcdccdcecacfc9e8ffb22a40e58abbdf",12,"31-35","Male","Some Undergraduate Courses","Yes","Prolific",4,"QI3","How long does it take for the population of Tribbles in stardate 4510 to double?","tribble","dataset1","log2","5",6.245447942,-1.245447942,1.245447942,4,1,1,1,6,,"Pop in 4510 aprox 400
400 x 2= 800
",,,,,
